    phi1        Phi       phi2      phase         ci         iq sem_signal          x          y    grainId
 307.741     26.179    150.774          0       0.45     3344.1      17381        654    31.1769         19
 126.879    154.006    208.303          0      0.368     3179.5      17756        666    31.1769         19
 128.423    153.728    209.564          0      0.377     2854.6      18304        678    31.1769         19
 307.806     26.053     150.86          0      0.345     3031.1      19089        690    31.1769         19
 127.955    153.756    209.059          0      0.627     3146.9      18823        702    31.1769         19
 127.776    153.715    88.3885          0      0.155     3087.6      18893        714    31.1769         19
 308.449    26.2535    150.635          0      0.636     2882.7      18762        726    31.1769         19
 307.588    25.9773    211.183          0      0.627     3518.6      18174        738    31.1769         19
 253.577     89.936    262.812          0      0.795     2786.7      19319        750    31.1769          9
 253.032     90.065     263.07          0      0.455     2585.5      17811        762    31.1769          9
 252.939    90.0277    262.701          0      0.582     2706.5      17677        774    31.1769          9
  73.236    90.1601    276.978          0      0.805     2415.1      17696        786    31.1769          9
 73.1593    90.0243    277.122          0      0.468     2764.2      18223        798    31.1769          9
 253.193    89.7733    262.966          0      0.205     2682.5      17144        810    31.1769          9
 73.0063    90.1366    277.008          0      0.477     2679.1      17309        822    31.1769          9
 92.8404     39.062     259.02          0      0.473     2104.8      17014        834    31.1769         11
 93.1228    39.2436    319.546          0      0.414     2568.4      17750        846    31.1769         11
 94.1845    39.6143    315.703          0      0.259     2490.1      18472        858    31.1769         11
 273.344     139.35     105.52          0      0.773     2504.8      18324        870    31.1769         11
 272.954    139.452     285.47          0      0.532     2843.3      18068        882    31.1769         11
 271.887    139.774    103.908          0      0.141     2510.9      16849        894    31.1769         11
 91.4584     40.346    316.944          0      0.595     2767.4      17407        906    31.1769         11
 270.846    140.005    102.312          0      0.241     2732.8      17566        918    31.1769         11
 270.836    139.897    282.523          0      0.586     2720.3      17944        930    31.1769         11
 269.227    139.521    40.5454          0      0.682     2648.4      18284        942    31.1769         11
 88.9248     40.162    259.494          0      0.514     2262.7      18059        954    31.1769         11
 88.7151      39.93    320.033          0        0.5       2813      17268        966    31.1769         11
 267.437    139.826    278.597          0      0.405     2441.7      17797        978    31.1769         11
 87.5061    40.0056    321.401          0      0.445     2789.1      17223        990    31.1769         11
 299.056    155.798    301.961          0      0.427     2839.8      17682          0    41.5692          7
 298.057    155.894    300.654          0      0.732     3142.4      18106         12    41.5692          7
 298.944    155.834    301.936          0      0.523     3407.3      18397         24    41.5692          7
  298.19    155.633    301.145          0      0.718     3543.8      17991         36    41.5692          7
 299.619    156.011    302.317          0      0.682     3093.6      17623         48    41.5692          7
 280.848    147.719    306.359          0      0.618     3012.7      18091         60    41.5692         12
 281.671    147.798    307.085          0        0.9     2694.4      19062         72    41.5692         12
 281.263    148.094    306.587          0      0.768     3210.7      18838         84    41.5692         12
 281.275    147.835    306.645          0      0.614     3043.8      18204         96    41.5692         12
 281.341    148.075    306.559          0      0.673     3219.1      17719        108    41.5692         12
 281.395     148.19    306.646          0      0.741     3187.5      17068        120    41.5692         12
 281.577    147.856      306.7          0      0.559     3246.4      18242        132    41.5692         12
 289.436    143.146    295.866          0      0.186     3101.1      19048        144    41.5692          8
  109.68    36.7661    64.0383          0      0.618     3163.1      17114        156    41.5692          8
 289.282    143.439    295.568          0      0.673     3182.5      18492        168    41.5692          8
 109.807    36.8956    63.9415          0      0.755     3486.7      18239        180    41.5692          8
 110.241    36.9369    63.6121          0      0.618     3170.7      17466        192    41.5692          8
 109.878    36.6091    303.751          0      0.541     3250.2      17099        204    41.5692          8
 108.851    36.5753    64.7459          0      0.823     3422.4      18607        216    41.5692          8
 109.157    36.6762    64.3884          0      0.605     3511.6      17977        228    41.5692          8
 109.643    36.5965    64.0229          0      0.773       2972      18538        240    41.5692          8
  289.44    142.996    295.946          0      0.536     3328.8      17297        252    41.5692          8
  109.06    36.9191     64.334          0      0.623     3444.7      17607        264    41.5692          8
 289.002    143.384    295.375          0      0.491     2780.4      18883        276    41.5692          8
 288.837    143.359    295.304          0      0.577     3300.2      18220        288    41.5692          8
 109.617    36.6704    63.9994          0      0.823     3457.8      18378        300    41.5692          8
 109.217    36.8481    305.091          0      0.727     3344.3      18551        312    41.5692          8
 320.599    59.2077    301.683          0      0.209       1963      17733        324    41.5692         17
 141.421     119.35    238.892          0      0.195     2120.8      18663        336    41.5692         17
 321.272    60.3978     301.45          0      0.268     1961.5      18238        348    41.5692         17
 141.619     119.09    238.726          0      0.373     2175.5      18608        360    41.5692         17
 321.229    60.5542    1.41005          0      0.527     2000.1      18267        372    41.5692         17
 141.213    119.624    238.722          0      0.455     2302.3      18681        384    41.5692         17
 321.379    60.1411    181.224          0      0.436     2356.7      18822        396    41.5692         17
 321.042    60.1829    181.264          0      0.559     2106.9      19091        408    41.5692         17
 141.273    119.844    238.635          0      0.236     2055.5      18494        420    41.5692         17
 321.384    60.4064    121.233          0      0.482     2055.5      17707        432    41.5692         17
 320.971    59.9056    181.683          0      0.259     2016.2      18248        444    41.5692         17
 320.918    60.1296     181.44          0      0.314     2128.1      18892        456    41.5692         17
 141.289    119.796    238.513          0      0.809     2066.1      17608        468    41.5692         17
 141.301    119.722    238.616          0      0.382     2036.4      18669        480    41.5692         17
 320.899    60.1228    181.318          0      0.441     1922.3      18100        492    41.5692         17
 320.892    60.0168    1.50115          0      0.518     2127.8      17484        504    41.5692         17
 308.317    26.4294    150.278          0       0.25     2442.6      18229        516    41.5692         19
 307.262    26.2976     150.85          0      0.327     3176.5      17780        528    41.5692         19
 307.842    25.9928    150.684          0      0.359     2991.4      18693        540    41.5692         19
 307.899    26.3137    150.529          0      0.577     3191.3      18794        552    41.5692         19
 307.686    26.1681    150.875          0      0.405     3176.1      16666        564    41.5692         19
 128.104    153.821    209.408          0        0.4     3166.3      17560        576    41.5692         19
  307.38    25.9475    151.397          0      0.532       3456      18785        588    41.5692         19
 307.516     26.171    151.141          0      0.459     3145.5      17912        600    41.5692         19
