X         Y         Z         data
26.2664   80.8398   0         183.4
27.6733   80.3691   0         195.0
29.0717   79.8739   0         165.9
30.4613   79.3543   0         205.0
31.8416   78.8106   0         196.7
33.2122   78.2429   0         219.2
34.5726   77.6514   0         237.6
35.9226   77.0362   0         212.6
37.2615   76.3975   0         246.7
38.5892   75.7356   0         243.4
39.9051   75.0506   0         268.4
41.2088   74.3427   0         283.4
42.5      73.6122   0         291.8
43.7782   72.8592   0         319.3
45.0431   72.0841   0         334.3
46.2943   71.287    0         298.4
47.5314   70.4682   0         305.1
48.754    69.6279   0         349.3
49.9618   68.7664   0         329.3
51.1543   67.884    0         326.8
52.3312   66.9809   0         342.6
53.4922   66.0574   0         337.6
54.6369   65.1138   0         319.3
55.765    64.1503   0         326.0
56.8761   63.1673   0         285.9
57.9699   62.1651   0         310.1
59.046    61.1439   0         289.3
60.1041   60.1041   0         274.2
61.1439   59.046    0         229.2
62.1651   57.9699   0         235.1
63.1673   56.8761   0         214.2
64.1503   55.765    0         220.1
65.1138   54.6369   0         221.7
66.0574   53.4922   0         197.5
66.9809   52.3312   0         198.4
67.884    51.1543   0         180.9
68.7664   49.9618   0         165.9
69.6279   48.754    0         175.9
70.4682   47.5314   0         175.0
71.287    46.2943   0         174.2
72.0841   45.0431   0         181.7
72.8592   43.7782   0         182.5
73.6122   42.5      0         177.5
74.3427   41.2088   0         167.5
75.0506   39.9051   0         179.2
75.7356   38.5892   0         172.5
76.3975   37.2615   0         179.2
77.0362   35.9226   0         153.4
77.6514   34.5726   0         146.7
78.2429   33.2122   0         150.9
78.8106   31.8416   0         163.4
79.3543   30.4613   0         166.7
79.8739   29.0717   0         146.7
80.3691   27.6733   0         153.4
80.8398   26.2664   0         164.2
81.2859   24.8516   0         154.2
81.7072   23.4292   0         154.2
82.1037   21.9996   0         165.0
82.4751   20.5634   0         199.2
82.8215   19.1208   0         160.9
83.1425   17.6725   0         172.5
83.4383   16.2188   0         162.5
83.7087   14.7601   0         185.9
83.9535   13.2969   0         164.2
84.1728   11.8297   0         174.2
84.3664   10.3589   0         176.7
84.5344   8.88492   0         191.7
84.6766   7.40824   0         170.9
84.7929   5.9293    0         171.7
84.8835   4.44856   0         172.5
84.9482   2.96646   0         163.4
84.987    1.48345   0         166.7
85        0         0         124.2
84.987    -1.48345  0         140.9
